	shannon_entropy
10532.d84dbc6b.0986.466a.abd3.3a5ac4fb4d52	4.889909651561553
10532.d9e63d01.9bb8.4104.8114.c568d0a78db3	6.193034413166158
10532.dcc90ae0.8d7a.4d56.a1e2.0d0ca606ac0e	4.584742174317274
10532.dddae1ad.5118.45e8.9052.0c8b4ace3f48	4.673662499185558
10532.de8f20d5.328f.47e5.89d6.e9b498d61dec	3.7380065863914975
10532.def521fc.b6f6.4a93.a517.784f29bb05d9	4.920743692421225
10532.dfe6e9d8.2aed.4f4c.922d.0889eaf8b718	5.797585055322374
10532.e47666f2.3381.46b4.bba1.4245cc970387	5.5889420406892825
10532.e5d3523e.90c0.4f31.9a49.07a700f1881e	5.223787500893109
10532.e70a5de6.3f61.48b5.9623.985b13d10e78	1.8353786665953513
10532.e9184d96.8688.4f36.bbae.cfa1272f763c	4.924894276152969
10532.e943d78d.6dc1.43d9.97d0.4b2c1c1fef4d	6.012939493499284
10532.ea1a31ac.1bf3.492e.bd32.ae81194ecf08	5.433620336418131
10532.ea3a8068.4beb.486e.8679.19c1580e43ab	4.217286859739472
10532.eaadb7ee.cb68.47ff.ba50.a0e3d8fa988a	4.385491146724665
10532.ecee2194.7ea4.4b60.b500.5d1937515c14	5.051704423567037
10532.eda34f8e.ddec.427c.86f1.2a458ef4f7a5	4.7307722098368155
10532.ee5dae47.dbf6.4a49.ad52.47a805338b4e	4.190836338622504
10532.f221c01d.1580.46b7.bdde.45844fd986ac	4.434471369316613
10532.f2f9add5.96c8.4a08.a163.6f01088c9970	2.770193888156148
10532.f3b0fccb.3517.4953.b339.96fd2205a6ac	5.250925844801856
10532.f3ea62bc.f50d.4ac7.a815.36074436c859	4.644069601660346
10532.f57975a7.5e66.4e36.96a4.1ee83ac87998	2.2126887945579505
10532.fa92a806.0cea.4efa.b287.378d5537cd24	4.7621158466771805
10532.fcdf2f34.5f5d.4e45.94be.b3eca14c7709	5.593456325048097
10532.fd7dc1d0.8bec.4872.b36c.a039b1d73918	2.151810034337674
10532.fdd84d79.3f8b.48c0.a751.41498828f25d	5.713195481227595
10532.fdefd7b2.abfd.4eb8.9e8d.c847d67ee8c4	4.5652615557770595
10532.fed3d194.3d3a.4e75.b2f2.dc4403b67b60	5.661921511821894
10532.ff46d383.f769.46b3.b856.edd55b12886e	5.466981271679156
10532.1302d53f.3364.4f3d.bbc4.50e9f9065ae7	2.2407226460153624
10532.35ace8e4.0b62.44c7.a9a3.1e16d45ed772	5.462274192147006
10532.3da00df1.0c79.4428.af4e.b70c506e5613	4.857376420356554
10532.425ccffa.2f7d.4daf.908d.1a7af532ec09	2.341293423937737
10532.4545f13f.f648.4efe.99af.4492baa200fe	4.963207041070717
10532.4b7fc783.1008.43aa.9325.896e2e370dee	4.869704689601018
10532.7a9cef0c.0180.49a3.808f.ce7130ad744b	2.2922620290792164
10532.80cd536f.16ba.4c7d.9ebd.023dcff85a44	5.41886898065705
10532.813e04bb.5ec0.48e2.948f.d7a41341772d	4.920254026411175
10532.9b00e3b8.869c.4664.ad85.4428c7adf122	5.465018819217651
10532.9ce7575e.ced6.4a0d.b97e.c66616c88598	5.082024853838486
10532.a46964d4.025a.4058.9026.881a954f689e	2.494843014095763
10532.add815f6.3d1f.4d75.bc58.21f39d2f403a	4.097060271387864
10532.b459a90c.b409.433b.974b.0d8b235238ef	4.084041399838282
10532.d256d51b.02ce.450b.8447.f9dc7e949072	5.629979395215846
10532.f85b77cf.7fb3.4f19.a223.8da7aa6e03d0	4.0988377194676655
10532.f96e60e7.00cd.437f.a8b7.2a57a381c89d	4.356430153894483
10532.ff37fca2.eda7.41c2.8084.75874cfa9ef7	5.1075837264982455
